,model,hidden_size,num_layers,run_time,device,best_epoch,num_epoch,test_loss,val_loss,train_loss
0,RNN_periodic,10,1,64.11939263343811,T4_GPU,9999,10000,0.22069934010505676,0.2277306616306305,0.27541589736938477
1,RNN_periodic,10,2,82.35427474975586,T4_GPU,6759,10000,0.22796675562858582,0.22715139389038086,0.27488628029823303
2,RNN_periodic,10,3,113.52823948860168,T4_GPU,9975,10000,0.21834075450897217,0.2286902666091919,0.2762241065502167
3,RNN_periodic,20,1,75.85633611679077,T4_GPU,5622,10000,0.22762902081012726,0.2260107845067978,0.2748357057571411
4,RNN_periodic,20,2,80.12661004066467,T4_GPU,4114,10000,0.2317265272140503,0.23044751584529877,0.27451011538505554
5,RNN_periodic,20,3,98.57420802116394,T4_GPU,4143,10000,0.22750672698020935,0.2284146398305893,0.2744112014770508
6,RNN_periodic,50,1,50.41862750053406,T4_GPU,6179,10000,0.223979651927948,0.21977920830249786,0.276485413312912
7,RNN_periodic,50,2,81.93772482872009,T4_GPU,7125,10000,0.225495383143425,0.22651256620883942,0.27847129106521606
8,RNN_periodic,50,3,124.01654505729675,T4_GPU,2282,10000,0.23070240020751953,0.2245909422636032,0.27381619811058044
9,RNN_periodic,100,1,59.658639907836914,T4_GPU,8335,10000,0.23523156344890594,0.21532464027404785,0.2801130414009094
10,RNN_periodic,100,2,109.37561011314392,T4_GPU,808,10000,0.22771984338760376,0.22526603937149048,0.2768847346305847
11,RNN_periodic,100,3,158.26798343658447,T4_GPU,971,10000,0.22903993725776672,0.2247927188873291,0.27802497148513794
12,RNN_periodic,200,1,93.0858850479126,T4_GPU,3487,10000,0.21787264943122864,0.22098787128925323,0.2710016965866089
13,RNN_periodic,200,2,173.7011375427246,T4_GPU,739,10000,0.23344913125038147,0.22341401875019073,0.2771848142147064
14,RNN_periodic,200,3,252.10498690605164,T4_GPU,9200,10000,0.23668736219406128,0.22076661884784698,0.2758922874927521
15,RNN_periodic,300,1,546.8111908435822,T4_GPU,8796,10000,0.23135200142860413,0.21814388036727905,0.2857619822025299
16,RNN_periodic,300,2,1110.817571401596,T4_GPU,1213,10000,0.23209570348262787,0.2194615751504898,0.2919383943080902
17,LSTM_periodic,10,1,80.46462535858154,T4_GPU,6937,10000,0.22152383625507355,0.2300267368555069,0.2758900225162506
18,LSTM_periodic,20,1,62.57923674583435,T4_GPU,6290,10000,0.2335251122713089,0.2284751981496811,0.2766135036945343
19,LSTM_periodic,50,1,71.34588956832886,T4_GPU,304,10000,0.21536460518836975,0.2263820320367813,0.29702460765838623
20,LSTM_periodic,100,1,195.41332030296326,T4_GPU,9922,10000,0.21867138147354126,0.22316554188728333,0.2732924520969391
21,LSTM_periodic,300,1,822.2682154178619,T4_GPU,4138,10000,0.2260706126689911,0.21412907540798187,0.2811645269393921
22,LSTM_periodic,400,2,1852.2560939788818,T4_GPU,7070,10000,0.2341080904006958,0.21929921209812164,0.2686329483985901
23,LSTM_periodic,300,2,1441.99001121521,T4_GPU,2999,10000,0.2446560561656952,0.21851256489753723,0.2678664028644562

